y1965,y1966,y1967,y1968,y1969,y1970,y1971,y1972,y1973,y1974,y1975,y1976,y1977,y1978,y1979,y1980,y1981,y1982,y1983,y1984,y1985,y1986,y1987,y1988,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015
9999,1.5,12.4,0.3,23.4,0.0,0,0,0,2,41.9,0,11.4,12.7,41.9,0.8,6.3,0,0,6.4,2,0,19.2,0,1.1,0,0,0,2.9,0,0,0,0.7,1,0,0,7.4,107,15.9,22,0,22.3,0,0,1.6,4.6,0,0,0,0,0
9999,0.0,5.8,4.3,2.0,0.0,0,0,0,12.7,23.6,0,16.3,1.8,0,18.3,5,0,0,32.3,0,13,0,5.2,19.3,0,0,0,0,7.4,0,0,0,0,0,0,1.1,0,0,0,0,7,0,14,1.5,65,0,6.1,0,0,2.1
9999,0.0,13.7,0.0,2.3,0.0,0,10.7,0,2.8,0,18.8,3.6,26.2,4.1,0,0,0,0,0,0,12.8,10.8,1,3.2,0,0,0,0.6,0,0,0,17.9,0,1,0,1.5,0,0.9,12,0,11,2,0,7,2.8,0,0,0,0,1.6
9999,5.8,4.3,0.0,0.5,0.0,28.4,2.8,0,41.9,8.6,7.4,33,7.6,21.3,0,0.1,0,0,21,1.8,4,0,0,32.2,0,7.4,2.2,0,9.1,0,3.2,0,0,3.4,0,1.6,0,0,47.4,0,11.5,0.5,0,0,0,0,0,0,0,0
9999,0.0,1.3,0.0,1.3,0.0,35.1,1.8,0,1.5,0,0,0.3,44.5,0,26.4,71.1,4.3,0.8,0.8,1.4,9.1,0,0,60.7,0,0,0,0,0.9,0,5.2,0,0,3.4,2.5,42,0,1.7,15.5,0,25.5,0,47,1.2,2.1,0,0,0,0,0
9999,15.7,1.5,1.3,0.8,6.9,0,9.7,0,27.4,0,23.1,8.1,30,7.6,32.5,1.9,0,0,0.8,26.5,41,0.8,2,21.2,0,0,0,0,0,0,0.3,3.2,1,126,1,0.3,78,0,34.4,0,9.5,9.8,12.5,1.5,3.2,2.4,15.3,0,0,3.1
9999,3.0,0.5,6.4,27.4,0.0,0,3.3,0,13.2,1.5,8.9,0,16.3,24.9,32.3,1.2,0.7,1,5.7,6,0,9,6,23.7,0,7.6,0,7.5,0,0,3.4,4.3,1.7,0,0.8,0,10,22.4,0,0,14.4,15,0,0,2.7,0,61.9,0,12.1,0
9999,0.0,0.0,0.0,0.0,0.0,0,0,0,1.3,13,0,6.1,0,5.3,87.1,0,0,0,2.2,10.3,9.5,6.8,0,19.2,0,23.6,0,23.9,0,0,18.6,61.2,15,5.1,0,0,0,23.1,0,0,1.2,7,17.5,8.5,0,1,31.6,0,0.8,0
9999,0.5,0.0,0.0,8.9,2.0,0.8,11.7,0,0.3,18,0,0,0,9.1,0,31.4,0,35.6,8.2,8.2,0,0,5.8,1.7,0,73.1,0,2.5,0,0,0,13.8,27.1,0,1.7,6.6,31,5.6,0,0,22.4,4,0,22.5,0,26.5,0,0,0,0
9999,31.2,1.8,6.4,17.8,0.0,0,5.1,0,11.7,11.4,7.6,0,35.6,7.1,0,1,0,0,0.7,2.3,0,14.6,2.1,0,0,11.9,0,0.3,0,0,42.2,1.8,4.3,2.1,0,3.7,31,0,0,2.6,0,1.1,0,0,0,15.2,0,0,0,1
9999,0.0,19.6,1.5,7.1,4.6,0,0,0,0,0,8.6,0.3,14.7,3.3,2.3,5.6,0,3.4,0.2,7.8,2,33.8,2.2,46.4,0,0.6,0.5,2,0,0,0,0,0,0,1.2,8,0,0.8,0,1,4.5,22,17,1.1,0,8.4,0,0,0,0
9999,11.9,3.6,0.0,0.0,0.3,11.4,0,0,4.1,0.3,97.5,0,10.9,4.6,0.3,4,0.5,1.7,0,1.1,0.2,0,10.9,0,0,0,0.1,0.2,0,0,0,21.8,7.2,2.5,15.3,4.8,0,0,0,1.1,28.5,32.8,0,0,0,0,0,0,0,0
9999,4.3,27.9,0.0,25.1,0.5,3.3,0,0,13.7,0,36.3,2,0,0,5.6,6.1,0,0,0,0,0,0,2.3,0,0,0,4.4,0,37.3,0,0,1.8,6,41.1,3.2,1.7,2,0,0,0,0.9,0,0.4,0,0,0,0,0,0,0
9999,4.3,211.6,1.0,2.5,0.8,0.5,0,0,7.1,3.3,7.4,0.3,19.6,0,0.8,14.2,0,2.7,4.3,3,0,0,0.1,0,0,23.9,0,0.9,9.7,0,33.8,6.6,25,10.8,0,13.1,112,0,1.2,0,0,0,4,0,0,0,0,0,0,0
9999,0.0,50.8,2.5,0.0,0.0,0,0,0,2,5.8,0,19.8,0,7.6,0,15.2,0,0,31.5,3.5,0,0,81.5,0,0,0.1,0,3.8,0,0,3.4,1.6,10,0,0,0,14,0,0.3,0,3.2,0,0,0,3.5,0,0,0,0,0
9999,3.0,5.1,0.0,0.0,0.0,0,37.6,2.5,4.1,0.5,0.8,11.4,2,50.3,0,3,0,0,4.6,5.4,0,0,10.3,0,1.2,14.7,1.7,2.3,0,0,2.2,2.6,0,0,0,0,0,0,0,0,0,0,5.5,5,0,36.1,0,0,2.3,17.5
9999,0.0,5.6,0.0,0.0,0.0,0,0,5.8,0,0,1,2.5,89.9,0,0,11,0,0,15.2,4,5.4,0,10.1,3.4,7.8,0,39.4,2.6,0,0,4.2,0,4,16.6,0,0,13,36.7,0,0,7,0,7.7,5.6,0,14,0,0,6.1,0
9999,0.0,0.3,0.0,2.0,0.0,0,1.8,4.6,0,0,4.8,25.4,53.3,0.3,7.9,3.2,0,0,9.8,3,11.2,0,1.1,0.2,0,0,0,0,0,0,2.1,0,8,0,6.9,13.2,25,0,12.6,0,0,0,0,14.5,42.2,13.7,21.4,0,3.4,0
9999,0.0,5.8,0.8,4.6,0.0,0,1,12.4,4.6,0.3,33.8,1.5,3.8,1.5,0,2.2,0,0,10.3,7.9,0,0,0,0,0,0,0,1.3,0,0,4.4,6.8,5.8,0,0,48,27,0,0,0,7.3,0,0,3,0,0,0,0,2.3,0
9999,13.5,6.9,3.0,1.5,0.0,8.4,0,19.6,7.1,0,5.1,0.5,0,0,0,0,0,0,0.5,22.4,1,0,0.2,0,11.8,0.5,0,0,0,0,2.4,0,0,0,15.3,1,0,27.5,0,0,0,0,0,33.5,0,18,1.1,0,6.3,0
9999,1.8,0.0,0.0,6.6,0.0,0.5,0,6.9,0.5,0,4.1,1,10.4,0,7.1,0,22.2,2.8,0,30.2,14.5,1.1,0,0,0,0,3.6,0,0,0,0.8,0,0,2.6,0.7,55.1,32.7,13,0,0,0,12.5,0,16,0,0,13.7,0,0,0
9999,0.0,8.9,0.0,30.0,0.0,9.7,20.1,35.8,0,0,8.9,0.3,0,4.3,0,0,24,10.5,0.6,37.4,2.9,0.6,0.6,9.6,0,0,0.1,0,0,0,0,0,2.2,0,0,44.1,14.2,3.7,0,0,6,0,0,38,3.5,4.6,3.1,0,0,0
